date;time;o;h;l;c;v
20250106;00:00:00;3636.00000000;3744.83000000;3158.00000000;3267.30000000;2728455.89250000
20250113;00:00:00;3267.30000000;3525.72000000;2920.00000000;3215.12000000;4650735.56240000
20250120;00:00:00;3215.20000000;3453.69000000;3142.78000000;3232.61000000;3594143.09070000
20250127;00:00:00;3232.61000000;3437.31000000;2750.71000000;2869.68000000;3917894.04870000
20250203;00:00:00;2869.68000000;2921.00000000;2125.01000000;2627.18000000;6935945.71610000
20250210;00:00:00;2627.18000000;2795.45000000;2546.92000000;2661.41000000;2786533.34340000
20250217;00:00:00;2661.41000000;2857.34000000;2605.44000000;2819.69000000;3853924.81750000
20250224;00:00:00;2819.70000000;2839.95000000;2076.26000000;2518.11000000;6704218.92400000
20250303;00:00:00;2518.12000000;2523.56000000;1989.66000000;2020.41000000;5364278.66740000
