date;time;o;h;l;c;v
20250101;00:00:00;3337.78000000;3374.85000000;3313.88000000;3360.38000000;190238.58610000
20250102;00:00:00;3360.39000000;3509.99000000;3354.50000000;3455.67000000;338632.88740000
20250103;00:00:00;3455.68000000;3630.00000000;3423.44000000;3609.01000000;334041.06040000
20250104;00:00:00;3609.00000000;3671.60000000;3572.42000000;3656.88000000;229266.31330000
20250105;00:00:00;3656.88000000;3675.25000000;3593.70000000;3635.99000000;155444.17410000
20250106;00:00:00;3636.00000000;3744.83000000;3610.63000000;3687.45000000;329642.36480000
20250107;00:00:00;3687.44000000;3700.86000000;3356.31000000;3381.31000000;541543.28740000
20250108;00:00:00;3381.31000000;3415.10000000;3208.20000000;3327.29000000;584749.96270000
20250109;00:00:00;3327.29000000;3357.27000000;3158.00000000;3219.20000000;501818.42470000
