date;time;o;h;l;c;v
20250106;00:00:00;98363.61000000;102724.38000000;91203.67000000;94545.06000000;172710.45967000
20250113;00:00:00;94545.07000000;106422.43000000;89256.69000000;101331.57000000;235685.99260000
20250120;00:00:00;101331.57000000;109588.00000000;99550.00000000;102620.00000000;254162.14092200
20250127;00:00:00;102620.01000000;106457.44000000;96150.00000000;97700.59000000;184203.26328000
20250203;00:00:00;97700.59000000;102500.01000000;91231.00000000;96462.75000000;221243.61368000
20250210;00:00:00;96462.75000000;98826.00000000;94088.23000000;96118.12000000;122007.40976000
20250217;00:00:00;96118.12000000;99475.00000000;93388.09000000;96258.00000000;127758.44873000
20250224;00:00:00;96258.00000000;96500.00000000;78258.52000000;94270.00000000;373604.39736000
20250303;00:00:00;94269.99000000;94416.46000000;80000.00000000;80734.37000000;284471.65101000
